id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
496,Rosicky,Arsenal,M,0,0.07,0.06,0.06,0.06,0.06,0.3,4.9,0.06
497,Gardos,Southampton,D,0,0.05,0.06,0.04,0.08,0.07,0.29,4.4,0.07
498,Andreu,Norwich,M,0,0.05,0.05,0.05,0.05,0.06,0.26,4.3,0.06
499,Williams,Crystal Palace,M,0,0.04,0.05,0.06,0.05,0.06,0.26,4.4,0.06
500,Elliott Bennett,Norwich,M,0,0.05,0.05,0.05,0.05,0.06,0.26,4.3,0.06
501,Cole,Aston Villa,M,0,0.05,0.05,0.06,0.05,0.05,0.26,4.8,0.05
502,Moore,Leicester,D,0,0.05,0.05,0.05,0.05,0.05,0.25,3.9,0.06
503,Johnstone,Man Utd,GK,0.04,0.04,0.04,0.04,0.04,0.04,0.23,4.4,0.05
504,Valdes,Man Utd,GK,0.03,0.04,0.04,0.04,0.04,0.04,0.23,4.7,0.05
505,Burke,West Ham,D,0,0.04,0.04,0.05,0.03,0.06,0.22,3.9,0.06
506,Wilson,Bournemouth,F,0,0,0,0,0,0,0,5.5,0
507,Sinclair,Liverpool,F,0,0,0,0,0,0,0,4.5,0
508,Lawrence,Leicester,F,0,0,0,0,0,0,0,4.4,0
509,McAleny,Everton,F,0,0,0,0,0,0,0,4.4,0
510,Toney,Newcastle,F,0,0,0,0,0,0,0,4.4,0
511,Welbeck,Arsenal,F,0,0,0,0,0,0,0,7.4,0
512,Ings,Liverpool,F,0,0,0,0,0,0,0,7,0
513,Adelaide,Arsenal,M,0,0,0,0,0,0,0,4.8,0
514,Smith,Watford,M,0,0,0,0,0,0,0,4.5,0
515,Isgrove,Southampton,M,0,0,0,0,0,0,0,4.5,0
516,Marveaux,Newcastle,M,0,0,0,0,0,0,0,4.5,0
517,Lucas,Swansea,M,0,0,0,0,0,0,0,4.5,0
518,Garcia,Man City,M,0,0,0,0,0,0,0,4.5,0
519,Barker,Man City,M,0,0,0,0,0,0,0,4.5,0
520,Evans,Man City,M,0,0,0,0,0,0,0,4.5,0
521,Bigirimana,Newcastle,M,0,0,0,0,0,0,0,4.5,0
522,Teixeira,Liverpool,M,0,0,0,0,0,0,0,4.5,0
523,Amalfitano,West Ham,M,0,0,0,0,0,0,0,4.7,0
524,Gazzaniga,Southampton,GK,0,0,0,0,0,0,0,4.5,0
525,Krul,Newcastle,GK,0,0,0,0,0,0,0,4.5,0
526,Gradel,Bournemouth,M,0,0,0,0,0,0,0,5.8,0
527,Cullen,West Ham,M,0,0,0,0,0,0,0,4.4,0
528,Gardner,Aston Villa,M,0,0,0,0,0,0,0,4.5,0
529,Onomah,Tottenham,M,0,0,0,0,0,0,0,4.4,0
530,Gray,Crystal Palace,M,0,0,0,0,0,0,0,4.5,0
531,Rose,West Brom,GK,0,0,0,0,0,0,0,4,0
532,Maffeo,Man City,D,0,0,0,0,0,0,0,4,0
533,Knoyle,West Ham,D,0,0,0,0,0,0,0,4,0
534,Amelia,Chelsea,GK,0,0,0,0,0,0,0,4.5,0
535,Pennington,Everton,D,0,0,0,0,0,0,0,4,0
536,Gomez,Liverpool,D,0,0,0,0,0,0,0,4.5,0
537,Ilori,Aston Villa,D,0,0,0,0,0,0,0,4.4,0
538,Shaw,Man Utd,D,0,0,0,0,0,0,0,5.4,0
539,Good,Newcastle,D,0,0,0,0,0,0,0,4,0
540,Henry,West Ham,D,0,0,0,0,0,0,0,4,0
541,Wright,Man City,GK,0,0,0,0,0,0,0,4.5,0
542,Spiegel,West Ham,GK,0,0,0,0,0,0,0,4,0
543,Maddison,Leicester,GK,0,0,0,0,0,0,0,4,0
544,Kean,Norwich,GK,0,0,0,0,0,0,0,4,0
545,Randall,Liverpool,D,0,0,0,0,0,0,0,4,0
